date,open,high,low,close,volume,average,trades
2022-07-20,151.6,153.72,150.37,152.65,56449731.0,152.637,236799
2022-07-21,152.46,155.57,151.94,154.92,55310191.0,154.369,226794
2022-07-22,154.75,156.28,153.41,153.93,58378183.0,154.606,249355
2022-07-25,154.12,155.29,152.0,152.68,46393458.0,153.29,204285
2022-07-26,153.24,153.24,150.8,152.83,47231328.0,151.679,210360
2022-07-27,152.9,157.33,151.22,156.5,66207252.0,155.343,259606
2022-07-28,155.39,164.01,154.41,162.02,69721827.0,157.461,299093
2022-07-29,162.03,163.63,159.5,162.15,84959864.0,162.281,312055
2022-08-01,161.98,163.59,160.85,161.4,53256499.0,162.149,226157
2022-08-02,161.28,162.41,159.55,160.0,48483358.0,160.693,220099
2022-08-03,160.28,166.59,159.61,165.84,68682830.0,165.006,275972
2022-08-04,165.63,167.19,164.43,165.86,45740464.0,165.6,198321
2022-08-05,166.0,166.2,162.8,164.9,48569176.0,164.757,201553
2022-08-08,166.24,167.81,164.2,165.27,44028320.0,165.806,199178
2022-08-09,165.0,165.82,163.25,165.01,51353568.0,164.838,213423
2022-08-10,165.0,169.34,164.12,169.1,59618883.0,168.358,236138
2022-08-11,169.0,170.99,168.19,168.78,47848490.0,169.38,209850
2022-08-12,168.81,172.17,168.06,171.9,58136224.0,171.082,226670
2022-08-15,171.37,173.39,170.75,173.15,42181208.0,172.619,175889
2022-08-16,172.86,174.09,171.66,173.7,45952905.0,172.735,198733
2022-08-17,173.8,176.15,172.12,173.2,67341077.0,174.313,291251
2022-08-18,173.81,174.9,172.52,174.11,52791535.0,174.14,223777
2022-08-19,173.6,173.85,170.7,170.75,61361568.0,172.228,238592
2022-08-22,170.29,171.1,167.13,167.98,56591794.0,168.274,247879
2022-08-23,167.35,168.71,166.47,167.12,44962066.0,167.629,213313
2022-08-24,167.38,168.41,166.24,167.84,46030867.0,167.314,204530
2022-08-25,169.02,170.35,167.11,170.2,43596345.0,169.36,190797
2022-08-26,170.0,171.13,162.3,162.47,66530354.0,165.926,276884
2022-08-29,161.98,163.62,159.82,161.79,61399147.0,161.538,251866
2022-08-30,161.82,163.34,157.72,158.97,65028601.0,159.297,272091
2022-08-31,159.91,160.76,155.77,156.0,74599697.0,158.414,267874
2022-09-01,156.0,158.7,154.67,158.62,64569597.0,156.54,285005
2022-09-02,157.86,160.37,154.96,155.65,67438254.0,157.648,293930
2022-09-06,156.22,157.88,153.69,154.49,62709070.0,155.016,280479
2022-09-07,154.66,156.67,153.61,156.04,77260885.0,155.321,314878
2022-09-08,156.4,159.0,152.68,154.6,72066262.0,154.393,315136
2022-09-09,155.3,157.82,154.46,157.5,57846844.0,156.714,242417
2022-09-12,158.02,164.26,157.61,164.15,88832821.0,162.481,361883
2022-09-13,164.07,164.9,153.37,154.26,106805661.0,156.087,431508
2022-09-14,154.9,157.1,153.25,155.99,75379844.0,155.253,325578
2022-09-15,156.0,156.15,151.1,151.35,76502287.0,153.009,322541
2022-09-16,151.35,151.55,148.37,151.3,144520894.0,150.255,394507
2022-09-19,149.97,155.01,148.71,155.01,70257918.0,152.54,306320
2022-09-20,154.54,158.08,153.08,156.49,95008529.0,156.138,372428
2022-09-21,157.39,158.74,152.22,152.45,87213743.0,156.302,361920
2022-09-22,153.02,154.96,150.91,153.0,75929976.0,152.565,322860
2022-09-23,152.33,152.55,148.56,150.57,81979325.0,150.004,353632
2022-09-26,150.39,153.78,148.83,151.1,80493496.0,151.53,352547
2022-09-27,152.52,154.72,149.94,151.9,73228358.0,152.115,324450
2022-09-28,149.47,151.76,144.84,149.37,125397900.0,147.628,507985
2022-09-29,148.19,149.47,140.68,142.41,111692361.0,142.875,467133
2022-09-30,143.59,143.59,137.21,137.52,108076174.0,140.346,413350
2022-10-03,137.53,143.07,136.4,142.97,95221321.0,141.246,365073
2022-10-04,144.02,146.22,144.02,146.0,75041629.0,145.496,304418
2022-10-05,145.44,147.4,143.01,147.31,69210518.0,145.281,288380
2022-10-06,147.31,147.54,144.32,144.78,57140029.0,146.055,263698
2022-10-07,144.83,145.25,139.44,140.02,75198115.0,140.766,299983
2022-10-10,139.95,141.89,138.57,140.92,65724451.0,140.2,284412
2022-10-11,139.69,141.35,138.22,139.24,68600243.0,139.532,284510
2022-10-12,140.22,140.59,138.16,138.61,61128040.0,139.093,265549
2022-10-13,138.8,143.59,133.2,142.83,101215100.0,139.876,433522
2022-10-14,143.0,144.66,138.0,138.08,79829245.0,139.886,329532
2022-10-17,142.99,143.5,139.07,143.45,76297332.0,141.958,289274
2022-10-18,144.21,146.7,140.61,144.88,88920886.0,144.047,385515
2022-10-19,144.06,144.95,141.38,143.0,55236979.0,143.448,243921
2022-10-20,142.49,145.89,142.05,142.72,56452176.0,144.207,242490
2022-10-21,142.79,147.85,141.57,147.58,75478135.0,145.564,302255
2022-10-24,147.9,150.23,145.64,149.59,66534264.0,148.39,279786
2022-10-25,149.5,152.5,148.5,150.9,65699642.0,151.46,252722
2022-10-26,151.06,151.99,148.04,149.8,75694089.0,150.014,324576
2022-10-27,148.94,149.5,136.0,145.35,92926333.0,145.315,380726
